N,Etiqueta,TS,ciudad,nodo_concentrador,nodo_estandar,nodo_backup,ruta,caja_codigo,color_buffer,tipo_ruta,clase,detalle_validacion
132.0,UIO-Sur 2 (A)-Recreo (E)/Sur 2 (A)-F01-C04B-AMA,UIO,UIO,Sur 2 (A),Recreo (E),Sur 2 (A),F01,C04B,AMA,ruta_completa,1,Etiqueta valida
133.0,UIO-Sur 2 (A)-Sur 2 (A)/Recreo (E)-F01-C03B-AMA,UIO,UIO,Sur 2 (A),Sur 2 (A),Recreo (E),F01,C03B,AMA,ruta_completa,1,Etiqueta valida
134.0,UIO-Sur 2 (A)-Recreo (E)/Sur 2 (A)-F01-C02B-AMA,UIO,UIO,Sur 2 (A),Recreo (E),Sur 2 (A),F01,C02B,AMA,ruta_completa,1,Etiqueta valida
135.0,UIO-Sur 2 (A)-Sur 2 (A)/Recreo (E)-F01-C01B-AMA,UIO,UIO,Sur 2 (A),Sur 2 (A),Recreo (E),F01,C01B,AMA,ruta_completa,1,Etiqueta valida
136.0,UIO-Sur 2 (A)-Calle H (E)/N/A-F04-PC16B-CEL,UIO,UIO,Sur 2 (A),Calle H (E),,F04,PC16B,CEL,ruta_no_aplica,1,Etiqueta valida
137.0,UIO-Sur 2 (A)-Calle H (E)/N/A-F04-PC15B-CEL,UIO,UIO,Sur 2 (A),Calle H (E),,F04,PC15B,CEL,ruta_no_aplica,1,Etiqueta valida
138.0,UIO-Sur 2 (A)-Calle H (E)/N/A-F04-PC13B-ROS,UIO,UIO,Sur 2 (A),Calle H (E),,F04,PC13B,ROS,ruta_no_aplica,1,Etiqueta valida
139.0,UIO-Sur 2 (A)-Calle H (E)/N/A-F04-PC14B-ROS,UIO,UIO,Sur 2 (A),Calle H (E),,F04,PC14B,ROS,ruta_no_aplica,1,Etiqueta valida
140.0,UIO-Sur 2 (A)-Calle H (E)/N/A-F04-PC12B-VIO,UIO,UIO,Sur 2 (A),Calle H (E),,F04,PC12B,VIO,ruta_no_aplica,1,Etiqueta valida
141.0,UIO-Sur 2 (A)-Calle H (E)/N/A-F04-PC11B-VIO,UIO,UIO,Sur 2 (A),Calle H (E),,F04,PC11B,VIO,ruta_no_aplica,1,Etiqueta valida
142.0,UIO-Sur 2 (A)-Calle H (E)/N/A-F04-PC10B-AMA,UIO,UIO,Sur 2 (A),Calle H (E),,F04,PC10B,AMA,ruta_no_aplica,1,Etiqueta valida
143.0,UIO-Sur 2 (A)-Calle H (E)/N/A-F04-PC09B-AMA,UIO,UIO,Sur 2 (A),Calle H (E),,F04,PC09B,AMA,ruta_no_aplica,1,Etiqueta valida
144.0,UIO-Sur 2 (A)-Calle H (E)/N/A-F04-PC08A-NEG,UIO,UIO,Sur 2 (A),Calle H (E),,F04,PC08A,NEG,ruta_no_aplica,1,Etiqueta valida
145.0,UIO-Sur 2 (A)-Calle H (E)/N/A-F04-PC07A-ROJ,UIO,UIO,Sur 2 (A),Calle H (E),,F04,PC07A,ROJ,ruta_no_aplica,1,Etiqueta valida
146.0,UIO-Sur 2 (A)-Calle H (E)/N/A-F04-PC03A-VER,UIO,UIO,Sur 2 (A),Calle H (E),,F04,PC03A,VER,ruta_no_aplica,1,Etiqueta valida
147.0,UIO-Sur 2 (A)-Calle H (E)/N/A-F04-PC02A-NAR,UIO,UIO,Sur 2 (A),Calle H (E),,F04,PC02A,NAR,ruta_no_aplica,1,Etiqueta valida
148.0,UIO-Sur 2 (A)-Calle H (E)/N/A-F04-PC01A-AZU,UIO,UIO,Sur 2 (A),Calle H (E),,F04,PC01A,AZU,ruta_no_aplica,1,Etiqueta valida
149.0,UIO-Sur 2 (A)-Calle H (E)/N/A-F04-PC06A-BLA,UIO,UIO,Sur 2 (A),Calle H (E),,F04,PC06A,BLA,ruta_no_aplica,1,Etiqueta valida
150.0,UIO-Sur 2 (A)-Calle H (E)/N/A-F04-PC05A-GRI,UIO,UIO,Sur 2 (A),Calle H (E),,F04,PC05A,GRI,ruta_no_aplica,1,Etiqueta valida
151.0,UIO-Sur 2 (A)-Calle H (E)/N/A-F04-PC04A-CAF,UIO,UIO,Sur 2 (A),Calle H (E),,F04,PC04A,CAF,ruta_no_aplica,1,Etiqueta valida
152.0,UIO-Gosseal (A)-Nogales (E)/N/A-F01-PC24B-CEL,UIO,UIO,Gosseal (A),Nogales (E),,F01,PC24B,CEL,ruta_no_aplica,1,Etiqueta valida
153.0,UIO-Gosseal (A)-Nogales (E)/N/A-F01-PC23B-CEL,UIO,UIO,Gosseal (A),Nogales (E),,F01,PC23B,CEL,ruta_no_aplica,1,Etiqueta valida
154.0,UIO-Gosseal (A)-Nogales (E)/N/A-F01-PC22B-ROS,UIO,UIO,Gosseal (A),Nogales (E),,F01,PC22B,ROS,ruta_no_aplica,1,Etiqueta valida
155.0,UIO-Gosseal (A)-Nogales (E)/N/A-F01-PC21B-ROS,UIO,UIO,Gosseal (A),Nogales (E),,F01,PC21B,ROS,ruta_no_aplica,1,Etiqueta valida
156.0,UIO-Gosseal (A)-Nogales (E)/N/A-F01-PC20B-VIO,UIO,UIO,Gosseal (A),Nogales (E),,F01,PC20B,VIO,ruta_no_aplica,1,Etiqueta valida
157.0,UIO-Gosseal (A)-Nogales (E)/N/A-F01-PC19B-VIO,UIO,UIO,Gosseal (A),Nogales (E),,F01,PC19B,VIO,ruta_no_aplica,1,Etiqueta valida
158.0,UIO-Gosseal (A)-Nogales (E)/N/A-F01-PC18B-AMA,UIO,UIO,Gosseal (A),Nogales (E),,F01,PC18B,AMA,ruta_no_aplica,1,Etiqueta valida
159.0,UIO-Gosseal (A)-Nogales (E)/N/A-F01-PC17B-AMA,UIO,UIO,Gosseal (A),Nogales (E),,F01,PC17B,AMA,ruta_no_aplica,1,Etiqueta valida
160.0,UIO-Gosseal (A)-Nogales (E)/N/A-F01-PC16B-NEG,UIO,UIO,Gosseal (A),Nogales (E),,F01,PC16B,NEG,ruta_no_aplica,1,Etiqueta valida
161.0,UIO-Gosseal (A)-Nogales (E)/N/A-F01-PC15B-NEG,UIO,UIO,Gosseal (A),Nogales (E),,F01,PC15B,NEG,ruta_no_aplica,1,Etiqueta valida
162.0,UIO-Gosseal (A)-Nogales (E)/N/A-F01-PC14B-ROJ,UIO,UIO,Gosseal (A),Nogales (E),,F01,PC14B,ROJ,ruta_no_aplica,1,Etiqueta valida
163.0,UIO-Gosseal (A)-Nogales (E)/N/A-F01-PC13B-ROJ,UIO,UIO,Gosseal (A),Nogales (E),,F01,PC13B,ROJ,ruta_no_aplica,1,Etiqueta valida
164.0,UIO-Gosseal (A)-Nogales (E)/N/A-F01-PC12B-BLA,UIO,UIO,Gosseal (A),Nogales (E),,F01,PC12B,BLA,ruta_no_aplica,1,Etiqueta valida
165.0,UIO-Gosseal (A)-Nogales (E)/N/A-F01-PC11B-BLA,UIO,UIO,Gosseal (A),Nogales (E),,F01,PC11B,BLA,ruta_no_aplica,1,Etiqueta valida
166.0,UIO-Gosseal (A)-Nogales (E)/N/A-F01-PC09B-GRI,UIO,UIO,Gosseal (A),Nogales (E),,F01,PC09B,GRI,ruta_no_aplica,1,Etiqueta valida
167.0,UIO-Gosseal (A)-Nogales (E)/N/A-F01-PC10B-GRI,UIO,UIO,Gosseal (A),Nogales (E),,F01,PC10B,GRI,ruta_no_aplica,1,Etiqueta valida
168.0,UIO-Gosseal (A)-Nogales (E)/N/A-F01-PC08B-CAF,UIO,UIO,Gosseal (A),Nogales (E),,F01,PC08B,CAF,ruta_no_aplica,1,Etiqueta valida
169.0,UIO-Gosseal (A)-Nogales (E)/N/A-F01-PC07B-CAF,UIO,UIO,Gosseal (A),Nogales (E),,F01,PC07B,CAF,ruta_no_aplica,1,Etiqueta valida
170.0,UIO-Gosseal (A)-Nogales (E)/N/A-F01-PC06B-VER,UIO,UIO,Gosseal (A),Nogales (E),,F01,PC06B,VER,ruta_no_aplica,1,Etiqueta valida
171.0,UIO-Gosseal (A)-Nogales (E)/N/A-F01-PC05B-VER,UIO,UIO,Gosseal (A),Nogales (E),,F01,PC05B,VER,ruta_no_aplica,1,Etiqueta valida
172.0,UIO-Gosseal (A)-Nogales (E)/N/A-F01-PC04B-NAR,UIO,UIO,Gosseal (A),Nogales (E),,F01,PC04B,NAR,ruta_no_aplica,1,Etiqueta valida
173.0,UIO-Gosseal (A)-Nogales (E)/N/A-F01-PC03B-NAR,UIO,UIO,Gosseal (A),Nogales (E),,F01,PC03B,NAR,ruta_no_aplica,1,Etiqueta valida
174.0,UIO-Gosseal (A)-Nogales (E)/N/A-F01-PC02B-AZU,UIO,UIO,Gosseal (A),Nogales (E),,F01,PC02B,AZU,ruta_no_aplica,1,Etiqueta valida
175.0,UIO-Gosseal (A)-Nogales (E)/N/A-F01-PC01B-AZU,UIO,UIO,Gosseal (A),Nogales (E),,F01,PC01B,AZU,ruta_no_aplica,1,Etiqueta valida
176.0,UIO-Sur 2 (A)-Gualleturo (E)/N/A-F01-PC12B-CAF,UIO,UIO,Sur 2 (A),Gualleturo (E),,F01,PC12B,CAF,ruta_no_aplica,1,Etiqueta valida
177.0,UIO-Sur 2 (A)-Gualleturo (E)/N/A-F01-PC11B-CAF,UIO,UIO,Sur 2 (A),Gualleturo (E),,F01,PC11B,CAF,ruta_no_aplica,1,Etiqueta valida
178.0,UIO-Sur 2 (A)-Gualleturo (E)/N/A-F01-PC10B-CAF,UIO,UIO,Sur 2 (A),Gualleturo (E),,F01,PC10B,CAF,ruta_no_aplica,1,Etiqueta valida
179.0,UIO-Sur 2 (A)-Gualleturo (E)/N/A-F01-PC09B-VER,UIO,UIO,Sur 2 (A),Gualleturo (E),,F01,PC09B,VER,ruta_no_aplica,1,Etiqueta valida
180.0,UIO-Sur 2 (A)-Gualleturo (E)/N/A-F01-PC08B-VER,UIO,UIO,Sur 2 (A),Gualleturo (E),,F01,PC08B,VER,ruta_no_aplica,1,Etiqueta valida
181.0,UIO-Sur 2 (A)-Gualleturo (E)/N/A-F01-PC07B-VER,UIO,UIO,Sur 2 (A),Gualleturo (E),,F01,PC07B,VER,ruta_no_aplica,1,Etiqueta valida
182.0,UIO-Sur 2 (A)-Gualleturo (E)/N/A-F01-PC06B-NAR,UIO,UIO,Sur 2 (A),Gualleturo (E),,F01,PC06B,NAR,ruta_no_aplica,1,Etiqueta valida
183.0,UIO-Sur 2 (A)-Gualleturo (E)/N/A-F01-PC05B-NAR,UIO,UIO,Sur 2 (A),Gualleturo (E),,F01,PC05B,NAR,ruta_no_aplica,1,Etiqueta valida
184.0,UIO-Sur 2 (A)-Gualleturo (E)/N/A-F01-PC04B-NAR,UIO,UIO,Sur 2 (A),Gualleturo (E),,F01,PC04B,NAR,ruta_no_aplica,1,Etiqueta valida
185.0,UIO-Sur 2 (A)-Gualleturo (E)/N/A-F01-PC03B-AZU,UIO,UIO,Sur 2 (A),Gualleturo (E),,F01,PC03B,AZU,ruta_no_aplica,1,Etiqueta valida
186.0,UIO-Sur 2 (A)-Gualleturo (E)/N/A-F01-PC02B-AZU,UIO,UIO,Sur 2 (A),Gualleturo (E),,F01,PC02B,AZU,ruta_no_aplica,1,Etiqueta valida
187.0,UIO-Sur 2 (A)-Gualleturo (E)/N/A-F01-PC01B-AZU,UIO,UIO,Sur 2 (A),Gualleturo (E),,F01,PC01B,AZU,ruta_no_aplica,1,Etiqueta valida
188.0,UIO-Armenia (A)-Pintag (E)/San Nicolas (E)-F01-PC16A-CEL,UIO,UIO,Armenia (A),Pintag (E),San Nicolas (E),F01,PC16A,CEL,ruta_completa,1,Etiqueta valida
189.0,UIO-Armenia (A)-Pintag (E)/San Nicolas (E)-F01-PC15A-ROS,UIO,UIO,Armenia (A),Pintag (E),San Nicolas (E),F01,PC15A,ROS,ruta_completa,1,Etiqueta valida
190.0,UIO-Armenia (A)-Pintag (E)/San Nicolas (E)-F01-PC14A-VIO,UIO,UIO,Armenia (A),Pintag (E),San Nicolas (E),F01,PC14A,VIO,ruta_completa,1,Etiqueta valida
191.0,UIO-Armenia (A)-Pintag (E)/San Nicolas (E)-F01-PC13A-AMA,UIO,UIO,Armenia (A),Pintag (E),San Nicolas (E),F01,PC13A,AMA,ruta_completa,1,Etiqueta valida
192.0,UIO-Armenia (A)-Pintag (E)/San Nicolas (E)-F01-PC12A-NEG,UIO,UIO,Armenia (A),Pintag (E),San Nicolas (E),F01,PC12A,NEG,ruta_completa,1,Etiqueta valida
193.0,UIO-Armenia (A)-Pintag (E)/San Nicolas (E)-F01-PC11A-ROJ,UIO,UIO,Armenia (A),Pintag (E),San Nicolas (E),F01,PC11A,ROJ,ruta_completa,1,Etiqueta valida
194.0,UIO-Armenia (A)-Pintag (E)/San Nicolas (E)-F01-PC10A-BLA,UIO,UIO,Armenia (A),Pintag (E),San Nicolas (E),F01,PC10A,BLA,ruta_completa,1,Etiqueta valida
195.0,UIO-Armenia (A)-Pintag (E)/San Nicolas (E)-F01-PC09A-GRI,UIO,UIO,Armenia (A),Pintag (E),San Nicolas (E),F01,PC09A,GRI,ruta_completa,1,Etiqueta valida
196.0,UIO-Armenia (A)-San Nicolas (E)/Pintag (E)-F01-PC08A-CEL,UIO,UIO,Armenia (A),San Nicolas (E),Pintag (E),F01,PC08A,CEL,ruta_completa,1,Etiqueta valida
197.0,UIO-Armenia (A)-San Nicolas (E)/Pintag (E)-F01-PC07A-ROS,UIO,UIO,Armenia (A),San Nicolas (E),Pintag (E),F01,PC07A,ROS,ruta_completa,1,Etiqueta valida
198.0,UIO-Armenia (A)-San Nicolas (E)/Pintag (E)-F01-PC06A-VIO,UIO,UIO,Armenia (A),San Nicolas (E),Pintag (E),F01,PC06A,VIO,ruta_completa,1,Etiqueta valida
199.0,UIO-Armenia (A)-San Nicolas (E)/Pintag (E)-F01-PC05A-AMA,UIO,UIO,Armenia (A),San Nicolas (E),Pintag (E),F01,PC05A,AMA,ruta_completa,1,Etiqueta valida
200.0,UIO-Armenia (A)-San Nicolas (E)/Pintag (E)-F01-PC04A-NEG,UIO,UIO,Armenia (A),San Nicolas (E),Pintag (E),F01,PC04A,NEG,ruta_completa,1,Etiqueta valida
201.0,UIO-Armenia (A)-San Nicolas (E)/Pintag (E)-F01-PC03A-ROJ,UIO,UIO,Armenia (A),San Nicolas (E),Pintag (E),F01,PC03A,ROJ,ruta_completa,1,Etiqueta valida
202.0,UIO-Armenia (A)-San Nicolas (E)/Pintag (E)-F01-PC02A-BLA,UIO,UIO,Armenia (A),San Nicolas (E),Pintag (E),F01,PC02A,BLA,ruta_completa,1,Etiqueta valida
203.0,UIO-Armenia (A)-San Nicolas (E)/Pintag (E)-F01-PC01A-GRI,UIO,UIO,Armenia (A),San Nicolas (E),Pintag (E),F01,PC01A,GRI,ruta_completa,1,Etiqueta valida
204.0,UIO-Borromoni (A)-Tababela (E)/N/A-F01-PC12A-CEL,UIO,UIO,Borromoni (A),Tababela (E),,F01,PC12A,CEL,ruta_no_aplica,1,Etiqueta valida
205.0,UIO-Borromoni (A)-Tababela (E)/N/A-F01-PC11A-ROS,UIO,UIO,Borromoni (A),Tababela (E),,F01,PC11A,ROS,ruta_no_aplica,1,Etiqueta valida
206.0,UIO-Borromoni (A)-Tababela (E)/N/A-F01-PC10A-VIO,UIO,UIO,Borromoni (A),Tababela (E),,F01,PC10A,VIO,ruta_no_aplica,1,Etiqueta valida
207.0,UIO-Borromoni (A)-Tababela (E)/N/A-F01-PC09A-AMA,UIO,UIO,Borromoni (A),Tababela (E),,F01,PC09A,AMA,ruta_no_aplica,1,Etiqueta valida
208.0,UIO-Borromoni (A)-Tababela (E)/N/A-F01-PC08A-NEG,UIO,UIO,Borromoni (A),Tababela (E),,F01,PC08A,NEG,ruta_no_aplica,1,Etiqueta valida
209.0,UIO-Borromoni (A)-Tababela (E)/N/A-F01-PC07A-ROJ,UIO,UIO,Borromoni (A),Tababela (E),,F01,PC07A,ROJ,ruta_no_aplica,1,Etiqueta valida
210.0,UIO-Borromoni (A)-Tababela (E)/N/A-F01-PC06A-BLA,UIO,UIO,Borromoni (A),Tababela (E),,F01,PC06A,BLA,ruta_no_aplica,1,Etiqueta valida
211.0,UIO-Borromoni (A)-Tababela (E)/N/A-F01-PC05A-GRI,UIO,UIO,Borromoni (A),Tababela (E),,F01,PC05A,GRI,ruta_no_aplica,1,Etiqueta valida
212.0,UIO-Borromoni (A)-Tababela (E)/N/A-F01-PC04A-CAF,UIO,UIO,Borromoni (A),Tababela (E),,F01,PC04A,CAF,ruta_no_aplica,1,Etiqueta valida
213.0,UIO-Borromoni (A)-Tababela (E)/N/A-F01-PC03A-VER,UIO,UIO,Borromoni (A),Tababela (E),,F01,PC03A,VER,ruta_no_aplica,1,Etiqueta valida
214.0,UIO-Borromoni (A)-Tababela (E)/N/A-F01-PC02A-NAR,UIO,UIO,Borromoni (A),Tababela (E),,F01,PC02A,NAR,ruta_no_aplica,1,Etiqueta valida
215.0,UIO-Borromoni (A)-Tababela (E)/N/A-F01-PC01A-AZU,UIO,UIO,Borromoni (A),Tababela (E),,F01,PC01A,AZU,ruta_no_aplica,1,Etiqueta valida
216.0,UIO-Bodega (E)-Roldos (E)/N/A-F01-C24B-CEL,UIO,UIO,Bodega (E),Roldos (E),,F01,C24B,CEL,ruta_no_aplica,1,Etiqueta valida
217.0,UIO-Bodega (E)-Roldos (E)/N/A-F01-C23B-CEL,UIO,UIO,Bodega (E),Roldos (E),,F01,C23B,CEL,ruta_no_aplica,1,Etiqueta valida
218.0,UIO-Bodega (E)-Roldos (E)/N/A-F01-C22B-ROS,UIO,UIO,Bodega (E),Roldos (E),,F01,C22B,ROS,ruta_no_aplica,1,Etiqueta valida
219.0,UIO-Bodega (E)-Roldos (E)/N/A-F01-C21B-ROS,UIO,UIO,Bodega (E),Roldos (E),,F01,C21B,ROS,ruta_no_aplica,1,Etiqueta valida
220.0,UIO-Bodega (E)-Roldos (E)/N/A-F01-C20B-VIO,UIO,UIO,Bodega (E),Roldos (E),,F01,C20B,VIO,ruta_no_aplica,1,Etiqueta valida
221.0,UIO-Bodega (E)-Roldos (E)/N/A-F01-C19B-VIO,UIO,UIO,Bodega (E),Roldos (E),,F01,C19B,VIO,ruta_no_aplica,1,Etiqueta valida
222.0,UIO-Bodega (E)-Roldos (E)/N/A-F01-C18B-AMA,UIO,UIO,Bodega (E),Roldos (E),,F01,C18B,AMA,ruta_no_aplica,1,Etiqueta valida
223.0,UIO-Bodega (E)-Roldos (E)/N/A-F01-C17B-AMA,UIO,UIO,Bodega (E),Roldos (E),,F01,C17B,AMA,ruta_no_aplica,1,Etiqueta valida
224.0,UIO-Bodega (E)-Roldos (E)/N/A-F01-C16B-NEG,UIO,UIO,Bodega (E),Roldos (E),,F01,C16B,NEG,ruta_no_aplica,1,Etiqueta valida
225.0,UIO-Bodega (E)-Roldos (E)/N/A-F01-C15B-NEG,UIO,UIO,Bodega (E),Roldos (E),,F01,C15B,NEG,ruta_no_aplica,1,Etiqueta valida
226.0,UIO-Bodega (E)-Roldos (E)/N/A-F01-C14B-ROJ,UIO,UIO,Bodega (E),Roldos (E),,F01,C14B,ROJ,ruta_no_aplica,1,Etiqueta valida
227.0,UIO-Bodega (E)-Roldos (E)/N/A-F01-C13B-ROJ,UIO,UIO,Bodega (E),Roldos (E),,F01,C13B,ROJ,ruta_no_aplica,1,Etiqueta valida
228.0,UIO-Bodega (E)-Roldos (E)/N/A-F01-C12B-BLA,UIO,UIO,Bodega (E),Roldos (E),,F01,C12B,BLA,ruta_no_aplica,1,Etiqueta valida
229.0,UIO-Bodega (E)-Roldos (E)/N/A-F01-C11B-BLA,UIO,UIO,Bodega (E),Roldos (E),,F01,C11B,BLA,ruta_no_aplica,1,Etiqueta valida
230.0,UIO-Bodega (E)-Roldos (E)/N/A-F01-C10B-GRI,UIO,UIO,Bodega (E),Roldos (E),,F01,C10B,GRI,ruta_no_aplica,1,Etiqueta valida
231.0,UIO-Bodega (E)-Roldos (E)/N/A-F01-C09B-GRI,UIO,UIO,Bodega (E),Roldos (E),,F01,C09B,GRI,ruta_no_aplica,1,Etiqueta valida
232.0,UIO-Bodega (E)-Roldos (E)/N/A-F01-C08B-CAF,UIO,UIO,Bodega (E),Roldos (E),,F01,C08B,CAF,ruta_no_aplica,1,Etiqueta valida
233.0,UIO-Bodega (E)-Roldos (E)/N/A-F01-C07B-CAF,UIO,UIO,Bodega (E),Roldos (E),,F01,C07B,CAF,ruta_no_aplica,1,Etiqueta valida
234.0,UIO-Bodega (E)-Roldos (E)/N/A-F01-C06B-VER,UIO,UIO,Bodega (E),Roldos (E),,F01,C06B,VER,ruta_no_aplica,1,Etiqueta valida
235.0,UIO-Bodega (E)-Roldos (E)/N/A-F01-C05B-VER,UIO,UIO,Bodega (E),Roldos (E),,F01,C05B,VER,ruta_no_aplica,1,Etiqueta valida
236.0,UIO-Bodega (E)-Roldos (E)/N/A-F01-C04B-NAR,UIO,UIO,Bodega (E),Roldos (E),,F01,C04B,NAR,ruta_no_aplica,1,Etiqueta valida
237.0,UIO-Bodega (E)-Roldos (E)/N/A-F01-C03B-NAR,UIO,UIO,Bodega (E),Roldos (E),,F01,C03B,NAR,ruta_no_aplica,1,Etiqueta valida
238.0,UIO-Bodega (E)-Roldos (E)/N/A-F01-C02B-AZU,UIO,UIO,Bodega (E),Roldos (E),,F01,C02B,AZU,ruta_no_aplica,1,Etiqueta valida
239.0,UIO-Bodega (E)-Roldos (E)/N/A-F01-C01B-AZU,UIO,UIO,Bodega (E),Roldos (E),,F01,C01B,AZU,ruta_no_aplica,1,Etiqueta valida
240.0,UIO-Armenia (A)-Vilatuna (E)/Pintag (E)-F01-C35B-GRI,UIO,UIO,Armenia (A),Vilatuna (E),Pintag (E),F01,C35B,GRI,ruta_completa,1,Etiqueta valida
241.0,UIO-Armenia (A)-Vilatuna (E)/Pintag (E)-F01-C34B-AZU,UIO,UIO,Armenia (A),Vilatuna (E),Pintag (E),F01,C34B,AZU,ruta_completa,1,Etiqueta valida
242.0,UIO-Armenia (A)-Vilatuna (E)/Pintag (E)-F01-C33B-AZU,UIO,UIO,Armenia (A),Vilatuna (E),Pintag (E),F01,C33B,AZU,ruta_completa,1,Etiqueta valida
243.0,UIO-Armenia (A)-Vilatuna (E)/Pintag (E)-F01-C32B-NEG,UIO,UIO,Armenia (A),Vilatuna (E),Pintag (E),F01,C32B,NEG,ruta_completa,1,Etiqueta valida
244.0,UIO-Armenia (A)-Vilatuna (E)/Pintag (E)-F01-C31B-NEG,UIO,UIO,Armenia (A),Vilatuna (E),Pintag (E),F01,C31B,NEG,ruta_completa,1,Etiqueta valida
245.0,UIO-Armenia (A)-Vilatuna (E)/Pintag (E)-F01-C30B-CAF,UIO,UIO,Armenia (A),Vilatuna (E),Pintag (E),F01,C30B,CAF,ruta_completa,1,Etiqueta valida
246.0,UIO-Armenia (A)-Vilatuna (E)/Pintag (E)-F01-C29B-CAF,UIO,UIO,Armenia (A),Vilatuna (E),Pintag (E),F01,C29B,CAF,ruta_completa,1,Etiqueta valida
247.0,UIO-Armenia (A)-Vilatuna (E)/Pintag (E)-F01-C28B-CEL,UIO,UIO,Armenia (A),Vilatuna (E),Pintag (E),F01,C28B,CEL,ruta_completa,1,Etiqueta valida
248.0,UIO-Armenia (A)-Vilatuna (E)/Pintag (E)-F01-C27B-CEL,UIO,UIO,Armenia (A),Vilatuna (E),Pintag (E),F01,C27B,CEL,ruta_completa,1,Etiqueta valida
249.0,UIO-Armenia (A)-Vilatuna (E)/Pintag (E)-F01-C26B-NAR,UIO,UIO,Armenia (A),Vilatuna (E),Pintag (E),F01,C26B,NAR,ruta_completa,1,Etiqueta valida
250.0,UIO-Armenia (A)-Vilatuna (E)/Pintag (E)-F01-C25B-NAR,UIO,UIO,Armenia (A),Vilatuna (E),Pintag (E),F01,C25B,NAR,ruta_completa,1,Etiqueta valida
251.0,GYE-Centro 1(A)-Polideportivo Huancavilca 1(E)/Centro 1(A)-F02-P22B-ROS,GYE,GYE,Centro 1(A),Polideportivo Huancavilca 1(E),Centro 1(A),F02,P22B,ROS,ruta_completa,1,Etiqueta valida
252.0,GYE-Centro 1(A)-Centro 1(A)/Polideportivo Huancavilca 1(E)-F02-P21B-ROS,GYE,GYE,Centro 1(A),Centro 1(A),Polideportivo Huancavilca 1(E),F02,P21B,ROS,ruta_completa,1,Etiqueta valida
253.0,GYE-Centro 1(A)-Polideportivo Huancavilca 1(E)/Centro 1(A)-F02-P20B-ROS,GYE,GYE,Centro 1(A),Polideportivo Huancavilca 1(E),Centro 1(A),F02,P20B,ROS,ruta_completa,1,Etiqueta valida
254.0,GYE-Centro 1(A)-Centro 1(A)/Polideportivo Huancavilca 1(E)-F02-P19B-ROS,GYE,GYE,Centro 1(A),Centro 1(A),Polideportivo Huancavilca 1(E),F02,P19B,ROS,ruta_completa,1,Etiqueta valida
255.0,GYE-Centro 1(A)-Polideportivo Huancavilca 1(E)/Centro 1(A)-F02-PD18B-VIO,GYE,GYE,Centro 1(A),Polideportivo Huancavilca 1(E),Centro 1(A),F02,PD18B,VIO,ruta_completa,1,Etiqueta valida
256.0,GYE-Centro 1(A)-Centro 1(A)/Polideportivo Huancavilca 1(E)-F02-PD17B-VIO,GYE,GYE,Centro 1(A),Centro 1(A),Polideportivo Huancavilca 1(E),F02,PD17B,VIO,ruta_completa,1,Etiqueta valida
257.0,GYE-Centro 1(A)-Polideportivo Huancavilca 1(E)/Centro 1(A)-F02-PD16B-GRI,GYE,GYE,Centro 1(A),Polideportivo Huancavilca 1(E),Centro 1(A),F02,PD16B,GRI,ruta_completa,1,Etiqueta valida
258.0,GYE-Centro 1(A)-Centro 1(A)/Polideportivo Huancavilca 1(E)-F02-PD15B-GRI,GYE,GYE,Centro 1(A),Centro 1(A),Polideportivo Huancavilca 1(E),F02,PD15B,GRI,ruta_completa,1,Etiqueta valida
259.0,GYE-Centro 1(A)-Polideportivo Huancavilca 1(E)/Centro 1(A)-F02-PD14B-AZU,GYE,GYE,Centro 1(A),Polideportivo Huancavilca 1(E),Centro 1(A),F02,PD14B,AZU,ruta_completa,1,Etiqueta valida
260.0,GYE-Centro 1(A)-Centro 1(A)/Polideportivo Huancavilca 1(E)-F02-PD13B-AZU,GYE,GYE,Centro 1(A),Centro 1(A),Polideportivo Huancavilca 1(E),F02,PD13B,AZU,ruta_completa,1,Etiqueta valida
261.0,GYE-Centro 1(A)-Polideportivo Huancavilca 1(E)/Centro 1(A)-F02-PD12B-NEG,GYE,GYE,Centro 1(A),Polideportivo Huancavilca 1(E),Centro 1(A),F02,PD12B,NEG,ruta_completa,1,Etiqueta valida
262.0,GYE-Centro 1(A)-Centro 1(A)/Polideportivo Huancavilca 1(E)-F02-PD11B-NEG,GYE,GYE,Centro 1(A),Centro 1(A),Polideportivo Huancavilca 1(E),F02,PD11B,NEG,ruta_completa,1,Etiqueta valida
263.0,GYE-Centro 1(A)-Polideportivo Huancavilca 1(E)/Centro 1(A)-F02-PD10B-CAF,GYE,GYE,Centro 1(A),Polideportivo Huancavilca 1(E),Centro 1(A),F02,PD10B,CAF,ruta_completa,1,Etiqueta valida
264.0,GYE-Centro 1(A)-Centro 1(A)/Polideportivo Huancavilca 1(E)-F02-PD09B-CAF,GYE,GYE,Centro 1(A),Centro 1(A),Polideportivo Huancavilca 1(E),F02,PD09B,CAF,ruta_completa,1,Etiqueta valida
265.0,GYE-Centro 1(A)-Polideportivo Huancavilca 1(E)/Centro 1(A)-F02-PD08B-CEL,GYE,GYE,Centro 1(A),Polideportivo Huancavilca 1(E),Centro 1(A),F02,PD08B,CEL,ruta_completa,1,Etiqueta valida
